 file_name                                               solver_name  setup_time (usecs)  solve_time (usecs)  status 
 almost_symmetric_network_10_orgs_                       ScrewSat     2279                1252                UNSAT 
 almost_symmetric_network_10_orgs_                       VariSat      995                 657                 UNSAT 
 almost_symmetric_network_10_orgs_                       Splr         1655                4093                UNSAT 
 almost_symmetric_network_10_orgs_                       BatSat       582                 714                 UNSAT 
 almost_symmetric_network_12_orgs_                       ScrewSat     4507                1967                UNSAT 
 almost_symmetric_network_12_orgs_                       VariSat      1392                933                 UNSAT 
 almost_symmetric_network_12_orgs_                       Splr         2755                9182                UNSAT 
 almost_symmetric_network_12_orgs_                       BatSat       1087                718                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_1   ScrewSat     3971                2481                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_1   VariSat      1207                1880                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_1   Splr         2392                7051                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_1   BatSat       955                 2447                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_10  ScrewSat     1405                180                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_10  VariSat      980                 98                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_10  Splr         4472                122                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_10  BatSat       749                 57                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_11  ScrewSat     1143                52                  SAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_11  VariSat      559                 95                  SAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_11  Splr         501                 2215                SAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_11  BatSat       262                 43                  SAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_2   ScrewSat     3787                446                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_2   VariSat      1269                329                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_2   Splr         4137                383                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_2   BatSat       1157                220                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_3   ScrewSat     4581                1002                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_3   VariSat      1315                330                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_3   Splr         2527                2297                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_3   BatSat       1074                164                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_4   ScrewSat     2482                275                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_4   VariSat      466                 129                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_4   Splr         898                 217                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_4   BatSat       484                 80                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_5   ScrewSat     1763                339                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_5   VariSat      506                 171                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_5   Splr         954                 242                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_5   BatSat       436                 69                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_6   ScrewSat     1345                449                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_6   VariSat      295                 105                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_6   Splr         569                 74                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_6   BatSat       286                 53                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_7   ScrewSat     929                 199                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_7   VariSat      301                 92                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_7   Splr         511                 79                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_7   BatSat       277                 54                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_8   ScrewSat     1342                168                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_8   VariSat      254                 95                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_8   Splr         447                 68                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_8   BatSat       234                 50                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_9   ScrewSat     873                 257                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_9   VariSat      317                 77                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_9   Splr         553                 73                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_9   BatSat       277                 54                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_1   ScrewSat     16963               9436                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_1   VariSat      5359                6440                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_1   Splr         26369               55582               UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_1   BatSat       5351                5679                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_10  ScrewSat     1343                112                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_10  VariSat      330                 123                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_10  Splr         627                 836                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_10  BatSat       300                 83                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_11  ScrewSat     1077                46                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_11  VariSat      270                 61                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_11  Splr         456                 2954                SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_11  BatSat       242                 50                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_12  ScrewSat     1006                53                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_12  VariSat      298                 58                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_12  Splr         523                 3018                SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_12  BatSat       268                 47                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_2   ScrewSat     27908               3201                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_2   VariSat      8550                3428                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_2   Splr         29552               51445               UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_2   BatSat       7151                852                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_3   ScrewSat     8880                1000                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_3   VariSat      2594                664                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_3   Splr         5276                17717               UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_3   BatSat       2083                478                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_4   ScrewSat     6057                1093                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_4   VariSat      1785                771                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_4   Splr         3507                360                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_4   BatSat       1412                197                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_5   ScrewSat     1740                113                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_5   VariSat      517                 130                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_5   Splr         943                 178                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_5   BatSat       449                 63                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_6   ScrewSat     1869                118                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_6   VariSat      476                 126                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_6   Splr         1386                117                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_6   BatSat       405                 86                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_7   ScrewSat     4284                313                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_7   VariSat      1596                109                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_7   Splr         13247               87                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_7   BatSat       1991                62                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_8   ScrewSat     1164                252                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_8   VariSat      364                 101                 UNSAT 
